"","AGT_CD","N_POLICY","N_VIT","AVG_ANP","AVG_ANP_RIDER","AVG_N_RIDER","AVG_ANP_BASIC","N_POLICY_CAT1_CAT2","N_POLICY_CAT1","N_POLICY_CAT2","N_POLICY_CAT3","N_ACCIDENT","N_CI","N_DISABILITY","N_ENDOWMENT","N_INCOME","N_LIFE","N_MEDICAL","N_OTHERMED","N_PAYOR","N_SAVERS","N_GI","N_MED","N_LI","ANP_OUTLIER","BIN_POLICY","BIN_VIT","BIN_ANP","BIN_ANP_B","BIN_ANP_R","BIN_LIFE","BIN_ENDOWMENT","BIN_ACCIDENT","BIN_CI","BIN_DISABILITY","BIN_INCOME","BIN_MEDICAL","BIN_OTHERMED","BIN_PAYOR","BIN_SAVERS","cluster","SCORE_LIFE","SCORE_MEDIC","SCORE_OTH"
"11",12,47,9,267.04829787234,3.89531914893617,4.91489361702128,263.152978723404,0,5,35,7,20,9,40,0,29,40,41,1,35,39,134,80,40,0,4,5,3,4,1,5,1,5,4,5,5,5,4,5,5,5,3,4.5,5
"12",13,90,12,210.256666666667,34.2671111111111,2.46666666666667,175.989555555556,1,4,22,63,15,23,50,1,2,50,59,1,16,32,113,85,51,3,5,5,2,3,3,5,4,5,5,5,3,5,4,4,5,5,4.5,4.25,4.75
"13",14,77,16,345.476753246753,97.5633766233766,2.41558441558442,247.913376623377,2,10,10,55,1,3,47,1,0,47,36,0,21,28,97,39,48,6,5,5,4,4,5,5,4,3,2,5,1,5,1,4,4,5,4.5,2.25,4
"14",15,89,19,451.830449438202,105.104606741573,4.64044943820225,346.725842696629,8,3,37,41,18,55,66,0,37,62,50,16,54,60,198,158,62,14,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5
"15",16,99,4,671.598585858586,146.56,3.26262626262626,525.038585858586,9,12,49,29,12,30,73,5,0,72,58,2,62,76,223,90,77,37,5,4,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,3.75,5
"16",17,70,1,215.175142857143,83.7185714285714,3.07142857142857,131.456571428571,1,0,34,35,1,4,44,1,3,43,49,0,23,31,99,56,44,2,5,2,2,2,4,5,4,3,3,5,4,5,1,4,5,1,4.5,3.25,4.25
"17",18,130,6,419.604461538461,66.1596923076923,4.54615384615385,353.444769230769,1,25,68,36,10,54,111,2,47,111,80,2,71,104,296,183,113,25,5,4,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4.75,4.75
"18",19,28,0,255.428928571429,63.2982142857143,4.07142857142857,192.130714285714,0,2,8,18,3,9,21,0,8,21,18,0,15,13,52,35,21,1,3,1,3,3,4,4,1,4,4,4,4,3,1,4,3,1,2.5,3,3.75
"19",20,36,0,374.258611111111,187.607777777778,5.63888888888889,186.650833333333,2,4,16,14,12,21,31,0,2,31,27,0,27,27,97,50,31,10,4,1,4,3,5,4,1,5,5,4,3,4,1,5,4,1,2.5,3.25,4.5
"20",21,3,3,337.273333333333,30.2866666666667,6.33333333333333,306.986666666667,0,0,2,1,2,2,3,1,0,2,2,0,3,1,9,4,3,0,1,3,4,4,2,1,4,3,2,1,1,1,1,2,1,4,2.5,1.25,1.75
"21",23,9,1,155.572222222222,53.1788888888889,4.33333333333333,102.393333333333,0,0,4,5,4,4,9,0,3,9,6,0,2,6,21,13,9,0,2,2,1,1,3,2,1,4,3,2,4,2,1,2,2,3,1.5,2.5,2.5
"22",24,35,8,303.844857142857,68.0697142857143,4.28571428571429,235.775142857143,1,0,26,8,14,14,21,1,15,21,27,1,17,16,68,57,22,3,4,4,4,3,4,4,4,5,4,4,5,4,4,4,4,5,4,4.25,4.25
"23",25,73,1,188.439726027397,70.9371232876712,3.71232876712329,117.502602739726,0,3,31,39,0,1,68,0,7,68,45,1,45,43,156,54,68,1,5,2,2,1,4,5,1,1,2,5,4,5,4,5,5,1,3,3.75,4
"24",28,60,4,141.8445,25.8458333333333,2,115.998666666667,0,1,23,36,8,10,32,0,7,32,33,0,10,9,59,50,32,0,4,4,1,1,2,4,1,4,4,4,4,4,1,3,3,2,2.5,3.25,3.5
"25",30,30,0,322.122666666667,100.319666666667,7.66666666666667,221.803,0,0,16,14,11,20,27,0,23,27,29,0,26,26,90,72,27,6,3,1,4,3,5,4,1,4,5,4,5,4,1,5,4,1,2.5,3.75,4.25
"26",31,38,3,288.208947368421,110.647894736842,1.81578947368421,177.561052631579,0,1,6,31,6,11,14,0,2,14,32,0,3,10,33,45,14,1,4,3,3,3,5,3,1,4,4,3,3,4,1,2,3,2,2,3,3
"27",34,70,3,290.493571428571,60.3104285714286,3.4,230.183142857143,0,0,34,36,25,29,39,1,9,39,40,3,33,35,132,81,40,12,5,3,3,3,4,5,4,5,5,5,5,5,5,5,5,5,4.5,5,5
"28",35,12,4,457,84.3908333333333,4.25,372.609166666667,0,3,7,2,3,5,10,0,4,10,5,2,6,8,27,16,10,3,2,4,5,5,4,3,1,4,3,3,4,2,4,3,3,2,2,3.25,3.25
"29",36,20,2,130.2125,25.1355,1.6,105.077,0,0,3,17,0,9,11,0,0,11,7,0,2,0,13,16,11,0,3,3,1,1,2,3,1,1,4,3,1,2,1,2,1,3,2,2,1.75
"30",37,34,8,217.602058823529,9.66617647058824,2.67647058823529,207.935882352941,0,0,27,7,0,12,20,0,7,20,28,0,14,17,51,47,20,0,4,4,2,3,1,4,1,1,4,4,4,4,1,4,4,2,2.5,3.25,3.25
"31",38,41,6,196.155853658537,40.5951219512195,3.70731707317073,155.560731707317,0,1,14,26,3,16,31,0,4,32,25,0,18,18,70,45,32,0,4,4,2,2,3,4,1,4,4,4,4,4,1,4,4,2,2.5,3.25,4
"32",40,23,5,259.791304347826,54,4.60869565217391,205.791304347826,0,3,17,3,8,11,14,0,11,14,20,0,14,14,50,42,14,2,3,4,3,3,3,3,1,4,4,3,5,4,1,4,3,2,2,3.5,3.5
"33",41,198,18,226.014343434344,40.7866666666667,1.24747474747475,185.227676767677,0,32,1,165,1,2,131,0,0,131,65,0,42,24,198,67,131,18,5,5,3,3,3,5,1,3,2,5,1,5,1,5,4,5,3,2.25,4.25
"34",42,6,0,90.2166666666667,15.8433333333333,2.5,74.3733333333333,0,0,1,5,1,0,5,0,1,5,2,0,5,1,12,3,5,0,2,1,1,1,2,2,1,3,1,2,3,1,1,2,1,3,1.5,1.5,2
"35",43,45,1,231.818666666667,18.264,1.8,213.554666666667,0,0,14,31,34,7,11,0,6,12,13,1,4,11,60,27,12,14,4,2,3,3,2,3,1,5,3,3,4,3,4,2,3,1,2,3.5,3.25
"36",44,63,5,428.484761904762,96.8626984126984,2.65079365079365,331.622063492064,5,2,28,28,1,19,45,1,4,45,32,10,29,23,98,65,46,8,5,4,5,5,5,5,4,3,5,5,4,4,5,5,4,5,4.5,4.5,4.25
"37",46,61,2,372.71868852459,64.397868852459,3.01639344262295,308.320819672131,0,1,28,32,13,21,36,6,2,31,39,0,27,37,113,62,37,8,4,3,4,4,4,4,5,5,5,4,3,5,1,5,5,5,4.5,3.5,4.75
"38",47,30,2,299.065666666667,77.2603333333333,1.8,221.805333333333,0,5,21,4,0,4,14,1,0,14,20,1,2,13,29,25,15,4,3,3,4,3,4,3,4,1,3,3,1,4,4,2,3,2,3.5,3,2.25
"39",48,35,3,256.524285714286,138.300285714286,2.57142857142857,118.224,2,0,7,26,3,7,32,0,1,32,12,0,7,14,56,20,32,5,4,3,3,1,5,4,1,4,3,4,3,3,1,3,3,2,2.5,2.5,3.5
"40",49,30,17,430.819333333333,71.857,4.56666666666667,358.962333333333,4,9,10,7,9,14,28,0,9,29,9,4,22,23,82,36,29,5,3,5,5,5,4,4,1,4,4,4,5,2,5,4,4,2,2.5,4,4
"41",50,82,23,581.666097560976,143.143658536585,3.5,438.52243902439,0,17,39,26,9,40,73,0,0,73,25,17,50,60,192,82,73,15,5,5,5,5,5,5,1,4,5,5,1,4,5,5,5,5,3,3.75,4.75
"42",52,25,1,210.7432,59.85,2.88,150.8932,0,0,17,8,4,6,20,0,0,20,16,1,0,15,39,23,20,1,3,2,2,2,4,4,1,4,3,4,1,3,4,1,4,1,2.5,2.75,3.25
"43",53,24,0,214.54375,40.3941666666667,2.20833333333333,174.149583333333,0,0,17,7,6,9,11,2,3,9,17,1,4,7,28,30,11,1,3,1,2,3,3,2,5,4,4,3,4,3,4,2,3,1,3.5,3.75,3
"44",56,25,0,241.8124,72.524,3.76,169.2884,1,2,11,11,8,7,13,2,6,11,13,1,11,11,43,27,13,4,3,1,3,2,4,3,5,4,3,3,4,3,4,3,3,1,4,3.5,3.25
"45",59,19,0,327.023157894737,81.5526315789474,3.47368421052632,245.470526315789,0,0,11,8,2,3,13,0,3,14,13,2,6,13,34,21,14,4,3,1,4,4,4,3,1,3,2,3,4,3,4,3,3,1,2,3.25,3
"46",62,7,0,338.045714285714,87.5328571428571,2.28571428571429,250.512857142857,0,1,2,4,1,1,5,4,1,1,2,0,1,1,8,4,5,1,2,1,4,4,4,1,5,3,2,2,3,1,1,1,1,4,3,1.75,1.75
"47",66,15,4,607.44,246.62,2.46666666666667,360.82,0,3,7,5,0,5,11,8,0,3,4,1,3,11,25,10,11,9,2,4,5,5,5,2,5,1,3,3,1,2,4,2,3,2,3.5,2.5,2.25
"48",69,29,0,324.352068965517,52.5731034482759,4.13793103448276,271.778965517241,0,0,26,3,6,19,22,0,0,22,29,1,7,22,57,49,22,4,3,1,4,4,3,4,1,4,5,4,1,4,4,3,4,1,2.5,3.5,3.75
"49",71,12,3,401.038333333333,68.3633333333333,4.66666666666667,332.675,0,4,3,5,0,6,12,2,0,10,6,0,11,12,35,12,12,2,2,3,4,5,4,3,5,1,3,3,1,2,1,3,3,2,4,1.75,2.5
"50",73,52,5,196.432307692308,23.3571153846154,2.48076923076923,173.075192307692,0,3,28,21,2,20,38,1,5,35,28,0,10,20,70,53,36,1,4,4,2,3,2,4,4,3,5,4,4,4,1,3,4,5,4,3.5,3.5
"51",74,44,8,479.744318181818,103.740227272727,3.20454545454545,376.004090909091,1,10,14,19,13,15,26,0,2,26,20,0,26,26,91,37,26,17,4,4,5,5,5,4,1,5,4,4,3,4,1,5,4,5,2.5,3,4.5
"52",75,86,0,165.081627906977,46.2140697674419,2.19767441860465,118.867558139535,0,0,56,30,24,5,30,0,28,30,56,3,19,0,73,92,30,1,5,1,2,1,3,4,1,5,3,4,5,5,5,4,1,1,2.5,4.5,3.5
"53",78,19,0,299.975263157895,86.9915789473684,2.89473684210526,212.983684210526,0,0,14,5,0,6,9,0,4,9,13,0,6,8,23,23,9,4,3,1,4,3,4,2,1,1,3,2,4,3,1,3,3,4,1.5,2.75,2.25
"54",79,50,0,151.9616,10.0892,1.52,141.8724,0,0,26,24,4,4,24,1,5,28,29,0,8,9,45,38,29,2,4,1,1,2,1,4,4,4,3,4,4,4,1,3,3,1,4,3,3.5
"55",80,40,6,188.8885,22.81225,1.3,166.07625,0,1,13,26,21,5,13,1,1,12,13,1,8,9,51,20,13,9,4,4,2,2,2,3,4,5,3,3,3,3,4,3,3,2,3.5,3.25,3.5
"56",81,21,0,382.451904761905,46.7452380952381,4.23809523809524,335.706666666667,0,0,16,5,6,9,16,1,2,15,19,0,4,16,42,30,16,4,3,1,4,5,3,3,4,4,4,3,3,4,1,2,4,1,3.5,3,3.25
"57",82,58,5,218.645344827586,25.1037931034483,5.39655172413793,193.541551724138,0,3,41,14,30,22,40,1,35,40,45,0,38,31,139,102,41,3,4,4,2,3,2,5,4,5,5,5,5,5,1,5,5,5,4.5,4,5
"58",83,16,3,347.34875,147.941875,6.5,199.406875,0,1,10,5,6,11,14,2,8,13,12,0,13,14,47,31,15,4,2,3,4,3,5,3,5,4,4,3,4,3,1,4,3,2,4,3,3.5
"59",84,117,23,405.766495726496,54.9241025641026,4.15384615384615,350.842393162393,0,9,78,30,12,56,78,1,58,79,90,38,63,77,230,242,80,25,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,4.5,5,5
"60",85,15,0,250.222666666667,80.3973333333333,3.86666666666667,169.825333333333,0,0,5,10,0,0,8,0,0,8,7,0,8,5,21,7,8,0,2,1,3,2,4,2,1,1,1,2,1,2,1,3,2,4,1.5,1.25,2
"61",87,1,1,216,36,6,180,0,0,0,1,0,0,1,0,1,1,1,0,1,1,3,2,1,0,1,2,2,3,3,1,1,1,1,1,3,1,1,1,1,3,1,1.5,1
"62",89,84,7,308.218095238095,82.9722619047619,4.46428571428571,225.245833333333,2,6,41,35,13,41,68,13,32,53,48,2,50,57,188,123,66,8,5,4,4,3,4,5,5,5,5,5,5,5,4,5,5,5,5,4.75,5
"63",90,33,9,297.279393939394,18.0721212121212,7.39393939393939,279.207272727273,0,3,22,8,21,23,32,0,29,32,30,0,32,32,117,82,32,0,4,5,4,4,2,4,1,5,5,4,5,4,1,5,5,5,2.5,3.75,4.75
"64",91,55,0,170.377636363636,35.7270909090909,2.49090909090909,134.650545454545,0,5,9,41,0,0,42,0,8,42,31,0,34,21,97,39,42,0,4,1,2,2,3,5,1,1,1,5,4,4,1,5,4,1,3,2.5,3.75
"65",94,77,14,416.282337662338,105.527532467532,3.14285714285714,310.754805194805,6,3,21,47,25,36,44,2,0,44,34,17,33,41,143,87,46,12,5,5,5,4,5,5,5,5,5,5,1,4,5,5,5,5,5,3.75,5
"66",95,52,22,180.3575,33.1471153846154,2.90384615384615,147.210384615385,0,7,15,30,3,7,43,0,1,41,17,6,22,16,84,31,41,0,4,5,2,2,2,5,1,4,3,5,3,3,5,4,4,5,3,3.5,4.25
"67",96,33,11,2699.16666666667,943.612121212121,3.66666666666667,1755.55454545455,0,16,11,6,0,12,32,0,0,32,13,0,29,30,91,25,32,23,4,5,5,5,5,4,1,1,4,4,1,3,1,5,5,2,2.5,2.25,3.75
"68",97,30,5,285.194333333333,18.8783333333333,4.7,266.316,0,2,22,6,4,12,25,1,19,24,25,2,23,24,76,58,25,2,3,4,3,4,2,4,4,4,4,4,5,4,4,4,4,5,4,4.25,4
"69",98,2,0,107.925,2.8,1,105.125,0,0,0,2,0,0,1,0,0,1,1,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"70",99,27,5,578.831111111111,162.253703703704,3,416.577407407407,2,9,7,9,3,2,19,0,1,19,14,0,8,16,46,17,19,11,3,4,5,5,5,4,1,4,2,3,3,3,1,3,4,2,2.5,2.25,3.5
"71",101,86,4,186.226279069767,55.2433720930233,2.17441860465116,130.982906976744,0,7,7,72,0,0,65,0,0,66,24,0,29,20,114,24,66,4,5,4,2,2,3,5,1,1,1,5,1,4,1,5,4,2,3,1.75,3.75
"72",102,83,5,289.319638554217,53.520843373494,2.4578313253012,235.798795180723,3,3,23,54,35,24,39,9,13,31,28,2,30,35,139,67,40,16,5,4,3,3,3,4,5,5,5,5,5,4,4,5,5,5,4.5,4.5,5
"73",103,89,0,92.2521348314607,7.1276404494382,0.606741573033708,85.1244943820225,0,0,20,69,64,5,7,0,3,7,21,3,3,6,80,32,7,4,5,1,1,1,1,2,1,5,3,2,4,4,5,2,2,1,1.5,4,2.75
"74",104,95,18,133.639578947368,21.6901052631579,1.89473684210526,111.949473684211,0,13,10,72,0,7,73,0,1,75,27,0,35,10,118,35,75,0,5,5,1,1,2,5,1,1,3,5,3,4,1,5,3,2,3,2.75,3.5
"75",105,123,34,139.041463414634,7.62788617886179,2.01626016260163,131.413577235772,0,8,39,76,59,21,56,0,16,56,40,9,36,27,178,86,56,12,5,5,1,2,1,5,1,5,5,5,5,5,5,5,4,5,3,5,4.75
"76",106,37,6,110.203513513514,25.5678378378378,1.81081081081081,84.6356756756757,0,0,6,31,0,4,24,0,2,24,18,0,5,8,37,24,24,0,4,4,1,1,2,4,1,1,3,4,3,3,1,2,3,2,2.5,2.5,2.5
"77",107,30,20,261.070333333333,86.0436666666667,3.23333333333333,175.026666666667,0,5,3,22,2,3,15,3,0,12,8,0,11,6,34,11,15,2,3,5,3,3,4,3,5,3,2,3,1,2,1,3,2,2,4,1.5,2.75
"78",108,36,2,232.813055555556,28.4802777777778,3.16666666666667,204.332777777778,0,0,27,9,5,11,17,0,7,17,30,3,12,15,49,51,17,3,4,3,3,3,2,3,1,4,4,3,4,4,5,4,4,1,2,4.25,3.75
"79",109,55,15,245.223454545454,49.8992727272727,2.67272727272727,195.324181818182,0,11,33,11,0,5,31,0,0,31,36,5,29,20,80,46,31,4,4,5,3,3,3,4,1,1,3,4,1,5,5,5,4,2,2.5,3.5,3.5
"80",110,46,9,177.79152173913,25.9047826086957,3.54347826086957,151.886739130435,0,1,32,13,14,9,29,0,16,27,31,7,19,16,78,63,27,0,4,5,2,2,2,4,1,5,4,4,5,4,5,4,4,5,2.5,4.5,4.25
"81",111,246,10,593.06325203252,232.250406504065,3.58130081300813,360.812845528455,0,19,153,74,11,160,209,7,33,206,186,0,25,206,451,379,213,32,5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,4,4.75
"82",112,9,1,132.198888888889,24.6077777777778,1.55555555555556,107.591111111111,0,1,0,8,0,0,5,0,0,5,3,0,2,0,7,3,5,0,2,2,1,1,2,2,1,1,1,2,1,2,1,2,1,3,1.5,1.25,1.5
"83",113,11,2,220.901818181818,98.5554545454546,4.27272727272727,122.346363636364,0,0,2,9,0,2,7,0,1,7,6,0,6,5,18,9,7,0,2,3,2,1,5,2,1,1,2,2,3,2,1,3,2,4,1.5,2,2
"84",114,29,19,351.103448275862,13.6551724137931,8.31034482758621,337.448275862069,0,4,23,2,22,24,29,0,24,29,25,11,28,29,108,84,29,2,3,5,4,5,1,4,1,5,5,4,5,4,5,5,5,5,2.5,4.75,4.75
"85",115,32,2,383.30875,35.918125,4.78125,347.390625,2,0,19,11,2,22,28,1,2,27,28,2,24,28,82,54,28,2,3,3,4,5,3,4,4,3,5,4,3,4,4,5,4,5,4,4,4
"86",116,15,2,226.058,88.56,3.86666666666667,137.498,0,0,5,10,0,0,13,0,2,13,10,0,8,9,30,12,13,0,2,3,3,2,4,3,1,1,1,3,3,3,1,3,3,4,2,2,2.5
"87",117,54,26,252.489444444444,98.994074074074,2.7037037037037,153.49537037037,0,2,9,43,5,8,21,0,2,20,23,0,8,9,43,33,20,3,4,5,3,2,5,4,1,4,3,4,3,4,1,3,3,2,2.5,2.75,3.5
"88",118,145,3,107.288,13.2085517241379,0.137931034482759,94.0794482758621,1,0,15,129,123,2,4,0,0,7,16,0,3,4,134,18,7,22,5,3,1,1,1,2,1,5,2,2,1,3,1,2,2,2,1.5,1.75,2.75
"89",119,54,22,211.004259259259,16.2911111111111,2.51851851851852,194.713148148148,0,6,18,30,4,14,44,2,10,45,13,1,20,20,88,38,47,5,4,5,2,3,2,5,5,4,4,5,5,3,4,4,4,5,5,4,4.25
"90",120,103,4,144.497087378641,52.3253398058252,2.74757281553398,92.1717475728155,0,0,20,83,3,14,80,0,7,80,44,0,34,31,148,65,80,2,5,4,1,1,3,5,1,4,4,5,4,5,1,5,5,5,3,3.5,4.75
"91",121,70,11,165.850714285714,30.5601428571429,1,135.290571428571,1,1,42,26,2,8,25,0,4,26,48,0,7,8,42,60,26,5,5,5,2,2,2,4,1,3,3,4,4,5,1,3,3,2,2.5,3.25,3.25
"92",122,48,5,177.042291666667,38.136875,2.45833333333333,138.905416666667,0,2,9,37,2,2,35,0,3,35,28,0,22,15,74,33,35,2,4,4,2,2,3,4,1,3,2,4,4,4,1,4,4,2,2.5,2.75,3.75
"93",123,48,9,141.449791666667,39.211875,3.04166666666667,102.237916666667,0,2,12,34,3,10,39,0,6,37,14,0,18,13,73,30,37,0,4,5,1,1,3,5,1,4,4,5,4,3,1,4,3,2,3,3,4
"94",124,16,4,883.4575,244.445,1.3125,639.0125,0,0,0,16,0,0,8,4,0,4,6,0,0,5,13,6,8,4,2,4,5,5,5,2,5,1,1,2,1,2,1,1,2,4,3.5,1.25,1.5
"95",125,4,1,308.5,218.2,6.75,90.3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"96",126,75,9,240.270933333333,18.6792,3.81333333333333,221.591733333333,0,0,41,34,27,36,43,1,6,44,48,2,36,39,145,92,45,6,5,5,3,3,2,5,4,5,5,5,4,5,4,5,5,5,4.5,4.5,5
"97",128,17,5,114.348235294118,14.14,1.29411764705882,100.208235294118,0,0,11,6,0,0,9,0,0,9,12,0,1,4,14,12,9,0,3,4,1,1,1,2,1,1,1,2,1,3,1,1,2,2,1.5,1.5,1.5
"98",129,133,14,270.503233082707,54.1640601503759,2.63157894736842,216.339172932331,0,11,88,34,8,17,80,1,36,79,93,0,18,67,173,146,80,14,5,5,3,3,3,5,4,4,4,5,5,5,1,4,5,5,4.5,3.75,4.5
"99",130,28,2,146.903214285714,39.3192857142857,1.64285714285714,107.583928571429,0,0,16,12,14,1,6,0,0,6,17,0,5,6,31,18,6,4,3,3,1,1,3,2,1,5,2,2,1,3,1,2,2,2,1.5,1.75,2.75
"100",131,51,0,179.910784313726,14.5529411764706,1.37254901960784,165.357843137255,0,2,28,21,14,1,17,0,0,17,31,0,17,16,64,32,17,7,4,1,2,2,2,3,1,5,2,3,1,4,1,4,4,1,2,2,4
"101",133,4,0,350,30,10,320,0,0,3,1,3,4,4,0,4,4,4,0,3,4,14,12,4,0,1,1,4,4,2,2,1,4,3,2,4,2,1,2,2,4,1.5,2.5,2.5
"102",134,34,1,230.68,32.4805882352941,3.67647058823529,198.199411764706,0,0,23,11,1,20,23,0,17,22,30,0,8,20,52,67,22,1,4,2,3,3,2,4,1,3,5,4,5,4,1,3,4,1,2.5,3.75,3.5
"103",135,41,10,295.645609756098,65.5039024390244,3.97560975609756,230.141707317073,0,0,30,11,0,20,29,0,20,30,32,4,17,26,72,76,30,3,4,5,4,3,4,4,1,1,5,4,5,4,5,4,4,5,2.5,4.75,3.25
"104",136,1,0,22,0,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1.5
"105",137,6,4,207.211666666667,0.185,3.66666666666667,207.026666666667,0,0,3,3,2,3,5,0,0,5,2,0,5,3,15,5,5,0,2,4,2,3,1,2,1,3,2,2,1,1,1,2,2,2,1.5,1.25,2.25
"106",142,21,0,258.581904761905,61.3233333333333,1.85714285714286,197.258571428571,0,0,16,5,1,1,5,2,0,3,17,2,4,5,15,20,5,5,3,1,3,3,4,2,5,3,2,2,1,3,4,2,2,1,3.5,2.5,2.25
"107",144,7,2,1310.27142857143,218.571428571429,3.71428571428571,1091.7,0,4,2,1,0,1,7,0,1,7,2,0,5,6,18,4,7,4,2,3,5,5,5,2,1,1,2,2,3,1,1,2,2,4,1.5,1.75,1.75
"108",145,5,0,216.08,22.08,5.2,194,0,0,3,2,2,5,5,0,2,5,5,0,0,5,12,12,5,0,1,1,2,3,2,2,1,3,3,2,3,2,1,1,2,3,1.5,2.25,2
"109",146,123,69,1105.20040650407,251.667154471545,4.71544715447155,853.53325203252,18,12,60,33,0,70,117,1,3,116,84,17,80,108,305,174,117,40,5,5,5,5,5,5,4,1,5,5,4,5,5,5,5,5,4.5,4.75,4
"110",147,63,8,931.959206349207,355.988571428571,3.19047619047619,575.970634920635,8,2,23,30,0,20,46,3,5,51,30,11,26,35,107,66,54,17,5,4,5,5,5,5,5,1,5,5,4,4,5,5,5,5,5,4.5,4
"111",148,103,78,461.166310679612,53.5402912621359,2.50485436893204,407.626019417475,7,18,65,13,0,62,65,16,15,47,34,4,46,59,170,115,63,22,5,5,5,5,3,5,5,1,5,5,5,4,5,5,5,5,5,4.75,4
"112",149,18,7,251.644444444444,99.0111111111111,3.83333333333333,152.633333333333,0,1,9,8,5,7,10,0,0,11,11,3,10,11,36,21,11,3,3,4,3,2,5,3,1,4,3,3,1,3,5,3,3,2,2,3,3.25
"113",150,17,0,174.094705882353,33.0352941176471,2.35294117647059,141.059411764706,0,0,6,11,0,3,11,0,0,11,12,0,6,7,24,15,11,0,3,1,2,2,2,3,1,1,2,3,1,3,1,3,3,3,2,1.75,2.5
"114",152,126,3,609.694285714286,184.195476190476,6.81746031746032,425.49880952381,9,16,59,42,36,82,114,3,79,111,88,11,86,106,342,260,114,44,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"115",153,43,0,175.932325581395,60.7044186046512,3.48837209302326,115.227906976744,0,0,11,32,9,9,31,0,5,31,24,0,8,18,66,38,31,0,4,1,2,1,4,4,1,4,4,4,4,4,1,3,4,1,2.5,3.25,3.75
