"","AGT_CD","N_POLICY","N_VIT","AVG_ANP","AVG_ANP_RIDER","AVG_N_RIDER","AVG_ANP_BASIC","N_POLICY_CAT1_CAT2","N_POLICY_CAT1","N_POLICY_CAT2","N_POLICY_CAT3","N_ACCIDENT","N_CI","N_DISABILITY","N_ENDOWMENT","N_INCOME","N_MEDICAL","N_OTHERMED","N_PAYOR","N_SAVERS","N_NA"
"26",31,38,3,288.208947368421,110.647894736842,1.81578947368421,177.561052631579,0,1,6,31,12,11,14,0,2,35,0,3,10,0
"27",34,70,3,290.493571428571,60.3104285714286,3.4,230.183142857143,0,0,34,36,26,53,41,1,9,46,3,39,44,0
"28",35,12,4,457,84.3908333333333,4.25,372.609166666667,0,3,7,2,6,5,10,0,4,5,2,6,15,0
"29",36,20,2,130.2125,25.1355,1.6,105.077,0,0,3,17,0,9,11,0,0,7,0,2,0,0
"30",37,34,8,217.602058823529,9.66617647058824,2.67647058823529,207.935882352941,0,0,27,7,0,12,20,0,7,35,0,14,17,0
"31",38,41,6,196.155853658537,40.5951219512195,3.70731707317073,155.560731707317,0,1,14,26,6,19,31,0,4,41,0,21,18,0
"32",40,23,5,259.791304347826,54,4.60869565217391,205.791304347826,0,3,17,3,16,12,14,0,11,20,0,16,26,0
"33",41,198,18,226.014343434344,40.7866666666667,1.24747474747475,185.227676767677,0,32,1,165,1,2,131,0,0,65,0,42,24,0
"34",42,6,0,90.2166666666667,15.8433333333333,2.5,74.3733333333333,0,0,1,5,1,0,5,0,1,2,0,5,1,0
"35",43,45,1,231.818666666667,18.264,1.8,213.554666666667,0,0,14,31,41,9,18,0,6,18,1,4,17,0
"36",44,63,5,428.484761904762,96.8626984126984,2.65079365079365,331.622063492064,5,2,28,28,2,19,45,1,4,47,10,30,27,0
"37",46,61,2,372.71868852459,64.397868852459,3.01639344262295,308.320819672131,0,1,28,32,13,23,36,6,2,49,0,42,43,0
"38",47,30,2,299.065666666667,77.2603333333333,1.8,221.805333333333,0,5,21,4,0,4,14,1,0,26,1,2,19,0
"39",48,35,3,256.524285714286,138.300285714286,2.57142857142857,118.224,2,0,7,26,3,7,32,0,1,23,0,7,15,0
"40",49,30,17,430.819333333333,71.857,4.56666666666667,358.962333333333,4,9,10,7,18,23,28,0,9,9,4,22,25,0
"41",50,82,23,581.666097560976,143.143658536585,3.5,438.52243902439,0,17,39,26,10,42,77,0,0,25,17,53,71,0
"42",52,25,1,210.7432,59.85,2.88,150.8932,0,0,17,8,4,10,20,0,0,17,1,0,25,0
"43",53,24,0,214.54375,40.3941666666667,2.20833333333333,174.149583333333,0,0,17,7,12,9,11,2,3,19,1,4,7,0
"44",56,25,0,241.8124,72.524,3.76,169.2884,1,2,11,11,11,20,18,2,6,20,1,13,17,0
"45",59,19,0,327.023157894737,81.5526315789474,3.47368421052632,245.470526315789,0,0,11,8,2,3,13,0,3,18,2,6,24,0
"46",62,7,0,338.045714285714,87.5328571428571,2.28571428571429,250.512857142857,0,1,2,4,4,1,5,4,1,4,0,2,1,0
"47",66,15,4,607.44,246.62,2.46666666666667,360.82,0,3,7,5,0,6,11,8,0,5,1,3,14,0
"48",69,29,0,324.352068965517,52.5731034482759,4.13793103448276,271.778965517241,0,0,26,3,10,19,22,0,0,36,1,7,32,0
"49",71,12,3,401.038333333333,68.3633333333333,4.66666666666667,332.675,0,4,3,5,0,10,12,2,0,6,0,11,14,0
"50",73,52,5,196.432307692308,23.3571153846154,2.48076923076923,173.075192307692,0,3,28,21,4,21,38,1,5,35,0,11,29,0
"51",74,44,8,479.744318181818,103.740227272727,3.20454545454545,376.004090909091,1,10,14,19,13,20,26,0,2,24,0,35,37,0
"52",75,86,0,165.081627906977,46.2140697674419,2.19767441860465,118.867558139535,0,0,56,30,48,5,30,0,28,108,3,23,0,0
"53",78,19,0,299.975263157895,86.9915789473684,2.89473684210526,212.983684210526,0,0,14,5,0,8,9,0,4,22,0,7,14,0
"54",79,50,0,151.9616,10.0892,1.52,141.8724,0,0,26,24,8,4,24,1,5,33,0,11,12,0
"55",80,40,6,188.8885,22.81225,1.3,166.07625,0,1,13,26,21,6,13,1,1,19,1,8,10,0
"56",81,21,0,382.451904761905,46.7452380952381,4.23809523809524,335.706666666667,0,0,16,5,11,15,16,1,2,23,0,7,19,0
"57",82,58,5,218.645344827586,25.1037931034483,5.39655172413793,193.541551724138,0,3,41,14,86,22,40,1,35,46,0,42,59,0
"58",83,16,3,347.34875,147.941875,6.5,199.406875,0,1,10,5,11,16,14,2,8,14,0,16,25,0
"59",84,117,23,405.766495726496,54.9241025641026,4.15384615384615,350.842393162393,0,9,78,30,12,61,78,1,58,115,38,65,95,0
"60",85,15,0,250.222666666667,80.3973333333333,3.86666666666667,169.825333333333,0,0,5,10,0,0,8,0,0,8,0,8,5,0
"61",87,1,1,216,36,6,180,0,0,0,1,0,0,1,0,1,1,0,1,2,0
"62",89,84,7,308.218095238095,82.9722619047619,4.46428571428571,225.245833333333,2,6,41,35,20,59,68,13,32,57,2,57,97,0
"63",90,33,9,297.279393939394,18.0721212121212,7.39393939393939,279.207272727273,0,3,22,8,42,31,32,0,29,31,0,40,40,0
"64",91,55,0,170.377636363636,35.7270909090909,2.49090909090909,134.650545454545,0,5,9,41,0,0,42,0,8,31,0,37,21,0
"65",94,77,14,416.282337662338,105.527532467532,3.14285714285714,310.754805194805,6,3,21,47,26,44,44,2,0,41,17,48,52,0
"66",95,52,22,180.3575,33.1471153846154,2.90384615384615,147.210384615385,0,7,15,30,6,8,43,0,1,21,6,22,16,0
"67",96,33,11,2699.16666666667,943.612121212121,3.66666666666667,1755.55454545455,0,16,11,6,0,12,32,0,0,14,0,29,35,0
"68",97,30,5,285.194333333333,18.8783333333333,4.7,266.316,0,2,22,6,7,12,25,1,19,27,2,27,27,0
"69",98,2,0,107.925,2.8,1,105.125,0,0,0,2,0,0,1,0,0,1,0,1,0,0
"70",99,27,5,578.831111111111,162.253703703704,3,416.577407407407,2,9,7,9,3,2,20,0,1,21,0,8,16,0
"71",101,86,4,186.226279069767,55.2433720930233,2.17441860465116,130.982906976744,0,7,7,72,0,0,65,0,0,24,0,30,20,0
"72",102,83,5,289.319638554217,53.520843373494,2.4578313253012,235.798795180723,3,3,23,54,37,28,39,9,13,38,2,39,51,0
"73",103,89,0,92.2521348314607,7.1276404494382,0.606741573033708,85.1244943820225,0,0,20,69,64,7,8,0,3,37,3,6,7,0
"74",104,95,18,133.639578947368,21.6901052631579,1.89473684210526,111.949473684211,0,13,10,72,0,12,73,0,1,37,0,35,10,0
"75",105,123,34,139.041463414634,7.62788617886179,2.01626016260163,131.413577235772,0,8,39,76,59,28,56,0,16,59,9,41,43,0
"76",106,37,6,110.203513513514,25.5678378378378,1.81081081081081,84.6356756756757,0,0,6,31,0,4,24,0,2,18,0,5,8,0
"77",107,30,20,261.070333333333,86.0436666666667,3.23333333333333,175.026666666667,0,5,3,22,4,3,16,3,0,10,0,13,6,0
"78",108,36,2,232.813055555556,28.4802777777778,3.16666666666667,204.332777777778,0,0,27,9,10,13,17,0,7,46,3,17,18,0
"79",109,55,15,245.223454545454,49.8992727272727,2.67272727272727,195.324181818182,0,11,33,11,0,5,31,0,0,66,5,34,20,0
"80",110,46,9,177.79152173913,25.9047826086957,3.54347826086957,151.886739130435,0,1,32,13,27,9,29,0,16,43,7,19,32,0
"81",111,246,10,593.06325203252,232.250406504065,3.58130081300813,360.812845528455,0,19,153,74,12,185,211,7,33,205,0,29,226,0
"82",112,9,1,132.198888888889,24.6077777777778,1.55555555555556,107.591111111111,0,1,0,8,0,0,5,0,0,3,0,2,0,0
"83",113,11,2,220.901818181818,98.5554545454546,4.27272727272727,122.346363636364,0,0,2,9,0,2,8,0,1,6,0,7,5,0
"84",114,29,19,351.103448275862,13.6551724137931,8.31034482758621,337.448275862069,0,4,23,2,60,31,29,0,24,25,11,30,31,0
"85",115,32,2,383.30875,35.918125,4.78125,347.390625,2,0,19,11,4,23,28,1,2,31,2,36,31,0
"86",116,15,2,226.058,88.56,3.86666666666667,137.498,0,0,5,10,0,0,13,0,2,19,0,8,9,0
"87",117,54,26,252.489444444444,98.994074074074,2.7037037037037,153.49537037037,0,2,9,43,10,8,21,0,2,29,0,8,9,0
"88",118,145,3,107.288,13.2085517241379,0.137931034482759,94.0794482758621,1,0,15,129,123,2,4,0,0,19,0,3,7,0
"89",119,54,22,211.004259259259,16.2911111111111,2.51851851851852,194.713148148148,0,6,18,30,7,19,45,2,10,17,1,21,22,0
"90",120,103,4,144.497087378641,52.3253398058252,2.74757281553398,92.1717475728155,0,0,20,83,4,20,82,0,7,61,0,38,31,0
"91",121,70,11,165.850714285714,30.5601428571429,1,135.290571428571,1,1,42,26,2,8,25,0,4,49,0,7,8,0
"92",122,48,5,177.042291666667,38.136875,2.45833333333333,138.905416666667,0,2,9,37,3,2,35,0,3,40,0,23,15,0
"93",123,48,9,141.449791666667,39.211875,3.04166666666667,102.237916666667,0,2,12,34,3,11,40,0,6,16,0,20,13,0
"94",124,16,4,883.4575,244.445,1.3125,639.0125,0,0,0,16,0,0,8,4,0,6,0,0,5,0
"95",125,4,1,308.5,218.2,6.75,90.3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"96",126,75,9,240.270933333333,18.6792,3.81333333333333,221.591733333333,0,0,41,34,46,57,43,1,6,60,2,47,53,0
"97",128,17,5,114.348235294118,14.14,1.29411764705882,100.208235294118,0,0,11,6,0,0,9,0,0,12,0,1,8,0
"98",129,133,14,270.503233082707,54.1640601503759,2.63157894736842,216.339172932331,0,11,88,34,9,17,86,1,36,100,0,18,67,0
"99",130,28,2,146.903214285714,39.3192857142857,1.64285714285714,107.583928571429,0,0,16,12,17,2,6,0,0,26,0,5,12,0
"100",131,51,0,179.910784313726,14.5529411764706,1.37254901960784,165.357843137255,0,2,28,21,14,1,17,0,0,36,0,17,18,0
"101",133,4,0,350,30,10,320,0,0,3,1,12,5,6,0,4,4,0,4,5,0
"102",134,34,1,230.68,32.4805882352941,3.67647058823529,198.199411764706,0,0,23,11,2,20,23,0,17,36,0,9,27,0
"103",135,41,10,295.645609756098,65.5039024390244,3.97560975609756,230.141707317073,0,0,30,11,0,22,29,0,20,43,4,17,37,0
"104",136,1,0,22,0,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"105",137,6,4,207.211666666667,0.185,3.66666666666667,207.026666666667,0,0,3,3,4,4,5,0,0,2,0,5,3,0
"106",142,21,0,258.581904761905,61.3233333333333,1.85714285714286,197.258571428571,0,0,16,5,1,1,5,2,0,30,2,8,8,0
"107",144,7,2,1310.27142857143,218.571428571429,3.71428571428571,1091.7,0,4,2,1,0,1,8,0,1,2,0,6,8,0
"108",145,5,0,216.08,22.08,5.2,194,0,0,3,2,2,5,5,0,2,5,0,0,7,0
"109",146,123,69,1105.20040650407,251.667154471545,4.71544715447155,853.53325203252,18,12,60,33,0,112,123,1,3,90,17,101,130,0
"110",147,63,8,931.959206349207,355.988571428571,3.19047619047619,575.970634920635,8,2,23,30,0,29,50,3,5,39,11,34,41,0
"111",148,103,78,461.166310679612,53.5402912621359,2.50485436893204,407.626019417475,7,18,65,13,0,65,66,16,15,36,4,49,61,0
"112",149,18,7,251.644444444444,99.0111111111111,3.83333333333333,152.633333333333,0,1,9,8,5,13,10,0,0,13,3,10,22,0
"113",150,17,0,174.094705882353,33.0352941176471,2.35294117647059,141.059411764706,0,0,6,11,0,3,11,0,0,13,0,6,7,0
"114",152,126,3,609.694285714286,184.195476190476,6.81746031746032,425.49880952381,9,16,59,42,74,178,114,3,79,98,11,121,188,0
"115",153,43,0,175.932325581395,60.7044186046512,3.48837209302326,115.227906976744,0,0,11,32,18,9,31,0,5,28,0,8,18,0
"116",154,6,0,578.365,205.421666666667,3.5,372.943333333333,0,1,3,2,1,1,4,0,0,6,0,3,4,0
"117",155,16,3,169.52,34.82125,1.8125,134.69875,0,2,0,14,0,0,5,0,0,8,0,5,1,0
"118",157,119,2,320.900504201681,32.8926050420168,5.22689075630252,288.007899159664,0,12,72,35,63,32,107,6,45,102,0,107,177,0
"119",158,48,0,221.554791666667,32.2070833333333,2.41666666666667,189.347708333333,0,9,11,28,0,1,44,0,0,18,0,21,20,0
"120",159,23,10,266.71,21.7004347826087,4.43478260869565,245.009565217391,0,4,8,11,16,8,19,1,11,12,0,21,17,0
"121",161,161,4,155.21099378882,18.0380124223602,1.2360248447205,137.17298136646,0,3,127,31,10,13,38,0,19,177,0,33,20,0
"122",162,64,3,189.70078125,37.15921875,3.09375,152.5415625,0,3,35,26,2,11,40,0,25,61,1,28,54,0
"123",163,61,26,628.92131147541,104.311803278689,3.86885245901639,524.609508196721,1,11,35,14,0,25,53,3,24,42,3,44,52,0
"124",164,36,16,291.402777777778,72.2808333333333,5.69444444444444,219.121944444444,0,2,25,9,26,31,32,0,0,33,1,24,61,0
"125",165,29,17,283.531724137931,43.5989655172414,2.86206896551724,239.93275862069,0,3,21,5,0,8,16,0,0,27,3,7,23,0
"126",166,21,1,380.512857142857,14.5066666666667,2.0952380952381,366.00619047619,0,1,16,4,0,9,10,1,1,21,0,6,8,0
"127",167,35,4,410.845714285714,155.36,5.65714285714286,255.485714285714,0,1,19,15,2,29,30,4,18,33,0,32,55,0
"128",168,6,1,307.806666666667,137.2,5.5,170.606666666667,0,0,5,1,0,0,5,0,4,11,0,4,5,0
"129",169,48,9,371.269375,21.275,3.83333333333333,349.994375,0,6,27,15,6,45,42,0,11,28,0,9,47,0
"130",170,116,3,241.901982758621,19.166724137931,2.31896551724138,222.73525862069,0,9,75,32,55,25,41,2,27,130,3,9,41,0
"131",171,3,1,1050.66666666667,44,6.66666666666667,1006.66666666667,2,0,1,0,0,4,3,0,1,1,3,3,5,0
"132",172,7,2,346.557142857143,22.6285714285714,3.42857142857143,323.928571428571,0,5,2,0,0,0,6,0,0,2,1,6,9,0
"133",173,20,0,180.266,10.395,1.65,169.871,0,0,17,3,0,4,5,0,1,24,0,6,6,0
"134",176,1,0,246.7,0,0,246.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"135",177,29,1,300.637931034483,42.8689655172414,2.62068965517241,257.768965517241,0,0,17,12,17,6,17,0,0,20,2,1,25,0
"136",179,29,9,331.37275862069,52.0031034482759,4.3448275862069,279.369655172414,0,1,16,12,7,16,26,6,10,14,2,23,31,0
"137",180,1,0,260,0,6,260,0,0,1,0,0,1,1,0,1,1,0,1,1,0
"138",181,23,13,278.787826086957,93.5304347826087,1.52173913043478,185.257391304348,1,1,0,21,0,1,2,0,0,15,0,1,1,0
"139",182,42,1,163.15119047619,42.4119047619048,2.02380952380952,120.739285714286,0,0,13,29,13,17,17,5,2,21,0,15,19,0
"140",183,23,2,407.178260869565,72.5760869565217,2.39130434782609,334.602173913043,0,5,13,5,2,8,14,1,0,22,0,9,10,0
"141",184,101,0,392.152079207921,58.7831683168317,1.59405940594059,333.368910891089,0,9,72,20,11,3,18,4,0,145,27,21,19,0
"142",185,13,0,310.060769230769,87.3807692307692,6,222.68,1,0,7,5,0,10,10,0,9,14,1,14,22,0
"143",186,23,8,342.173913043478,158.799130434783,3.78260869565217,183.374782608696,1,0,9,13,0,11,17,1,0,30,0,9,13,0
"144",187,41,2,173.863414634146,34.7148780487805,0.75609756097561,139.148536585366,0,0,15,26,22,0,5,0,0,30,0,1,8,0
"145",189,37,6,240.106486486486,28.2767567567568,3.18918918918919,211.82972972973,1,0,24,12,4,16,24,0,7,35,1,18,25,0
"146",190,17,0,323.315882352941,112.718823529412,1.52941176470588,210.597058823529,0,0,17,0,0,4,2,0,0,31,1,1,2,0
"147",191,11,0,152.466363636364,4.97272727272727,1.18181818181818,147.493636363636,0,0,4,7,0,0,7,0,0,7,3,0,0,0
"148",192,26,8,230.091923076923,65.875,2.92307692307692,164.216923076923,0,2,13,11,4,10,18,1,4,20,4,9,17,0
"149",193,38,6,92.3397368421053,5.605,0.394736842105263,86.7347368421053,0,0,4,34,35,0,3,0,2,4,0,2,4,0
"150",196,7,6,438.958571428571,99.6385714285714,2.71428571428571,339.32,0,1,2,4,2,2,6,5,1,1,0,5,3,0
"151",198,1,0,300,0,4,300,0,0,1,0,0,1,1,0,0,1,0,0,1,0
"152",200,15,1,167.047333333333,11.74,0.866666666666667,155.307333333333,0,1,0,14,0,2,9,0,0,6,0,1,0,0
"153",201,3,0,300,0,0.333333333333333,300,0,0,0,3,0,0,1,3,0,0,0,0,0,0
"154",202,8,0,746.78375,129.6375,1.625,617.14625,0,4,1,3,0,1,7,0,1,1,0,0,1,0
"155",203,40,26,326.308,20.17775,5,306.13025,1,3,29,7,34,23,39,4,20,27,4,32,29,0
"156",204,39,6,371.344615384615,15.7964102564103,3.33333333333333,355.548205128205,0,13,20,6,0,13,33,0,3,25,1,27,33,0
"157",205,123,3,193.510650406504,17.9194308943089,1.73983739837398,175.591219512195,1,8,36,78,75,30,51,2,13,51,1,14,46,0
"158",206,70,9,614.099714285714,218.734428571429,3.52857142857143,395.365285714286,0,25,29,16,8,35,59,13,2,35,0,37,79,0
"159",207,56,31,227.477321428571,61.15,3.28571428571429,166.327321428571,0,3,27,26,31,28,31,1,16,26,3,20,52,0
"160",208,66,43,388.907121212121,107.837272727273,3.86363636363636,281.069848484848,7,5,21,33,12,28,56,5,0,35,4,47,23,0
"161",209,98,3,345.245510204082,85.1001020408163,3.52040816326531,260.145408163265,0,26,23,49,2,4,83,1,10,56,0,72,50,0
"162",210,110,6,513.623363636364,262.329545454545,3.37272727272727,251.293818181818,2,20,63,25,0,31,81,0,23,94,3,53,107,0
"163",211,38,4,204.996842105263,34.5602631578947,2.5,170.436578947368,0,3,5,30,0,8,30,0,0,15,0,23,7,0
"164",213,24,3,591.058333333333,147.5,3.95833333333333,443.558333333333,1,0,16,7,2,5,20,0,0,21,2,13,29,0
"165",214,168,11,214.516369047619,41.9325595238095,1.88690476190476,172.58380952381,15,5,48,100,91,37,61,0,32,62,5,59,72,0
"166",216,285,10,412.336070175438,87.8980350877193,4.70175438596491,324.438035087719,0,19,188,78,4,114,228,1,89,335,2,227,344,0
"167",217,65,7,490.120307692307,196.480923076923,3.10769230769231,293.639384615385,0,5,24,36,0,34,44,7,11,26,0,24,60,0
"168",220,14,5,147.008571428571,30.2807142857143,2.42857142857143,116.727857142857,0,1,5,8,0,1,10,0,3,8,0,9,4,0
"169",221,11,8,293.187272727273,30.8172727272727,6.45454545454545,262.37,0,0,8,3,8,10,9,0,6,11,5,8,16,0
"170",222,168,6,287.456785714286,87.9183333333333,3.82142857142857,199.538452380952,1,9,85,73,152,7,106,8,68,127,1,117,116,0
"171",223,1,0,155.61,63.94,3,91.67,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"172",224,64,1,194.845,35.20671875,1.9375,159.63828125,0,3,11,50,0,10,34,0,9,46,0,21,17,0
"173",225,14,1,338.11,1.57,0.928571428571429,336.54,0,0,0,14,0,0,13,0,0,0,0,0,0,0
"174",226,25,1,358.8232,145.5036,5.56,213.3196,0,1,16,8,18,18,21,0,9,23,2,18,34,0
"175",228,42,1,103.373095238095,9.83047619047619,1.23809523809524,93.542619047619,0,0,30,12,12,4,14,0,5,30,0,10,2,0
"176",229,80,1,149.518,46.57875,2.95,102.93925,0,1,24,55,7,33,56,0,11,73,0,12,30,0
"177",230,25,10,352.766,105.9192,3.6,246.8468,1,4,5,15,3,5,15,2,0,15,0,9,6,0
"178",231,30,2,168.839,56.8,3.1,112.039,0,0,6,24,0,6,25,0,2,14,0,9,9,0
"179",232,103,13,366.115533980583,21.7780582524272,2.21359223300971,344.337475728156,1,8,26,68,33,30,64,6,7,43,2,44,43,0
"180",233,82,22,235.554024390244,64.7037804878049,3.19512195121951,170.850243902439,1,5,26,50,12,15,71,2,14,72,4,26,32,0
"181",235,66,17,459.625909090909,184.226363636364,3.71212121212121,275.399545454546,2,5,10,49,20,20,37,1,2,32,0,19,14,0
"182",237,232,22,245.991551724138,30.5680603448276,2.09051724137931,215.42349137931,6,12,67,147,143,67,85,0,58,74,5,77,123,0
"183",238,43,6,486.24023255814,92.9262790697674,2.48837209302326,393.313953488372,0,9,11,23,37,10,22,0,0,13,0,22,24,0
"184",240,30,4,374.727,7.05,5.3,367.677,2,0,23,5,0,35,27,0,8,29,5,29,30,0
"185",242,2,0,750,360,4.5,390,0,1,1,0,0,0,2,0,0,1,0,2,4,0
"186",243,146,51,380.340068493151,27.2227397260274,2.95205479452055,353.117328767124,0,8,86,52,24,76,70,2,22,91,12,88,70,0
"187",244,44,25,353.035,14.8663636363636,3.45454545454545,338.168636363636,0,7,18,19,22,25,31,0,10,18,0,24,25,0
"188",245,32,3,244.2340625,78.481875,4.375,165.7521875,0,0,14,18,8,19,23,1,15,21,0,23,39,0
"189",246,93,6,230.764193548387,18.0537634408602,2.12903225806452,212.710430107527,0,6,68,19,4,18,39,1,3,100,4,39,41,0
"190",247,108,16,387.158888888889,91.369537037037,3.12962962962963,295.789351851852,10,3,48,47,50,41,64,7,15,63,7,66,76,0
"191",248,68,17,420.084411764706,103.715294117647,3.13235294117647,316.369117647059,0,7,46,15,0,6,40,1,3,75,4,45,66,0
"192",251,59,2,397.737627118644,62.7901694915254,2.69491525423729,334.947457627118,0,8,37,14,11,21,31,4,1,51,6,31,34,0
"193",252,8,5,722.8,60,7.75,662.8,1,0,4,3,6,13,8,0,7,7,1,11,9,0
"194",253,30,4,241.964333333333,44.912,4.23333333333333,197.052333333333,2,2,21,5,26,11,23,1,8,32,3,19,18,0
"195",255,22,0,176.286363636364,32.9031818181818,1.81818181818182,143.383181818182,0,2,3,17,2,3,13,0,1,17,0,6,4,0
"196",256,27,0,223.003333333333,34.0037037037037,1.74074074074074,188.99962962963,0,0,21,6,4,3,8,1,0,34,4,3,9,0
"197",257,24,1,375.968333333333,59.8870833333333,1.83333333333333,316.08125,0,0,17,7,5,1,10,2,0,26,1,0,15,0
"198",258,19,3,309.125263157895,64.111052631579,3.84210526315789,245.014210526316,1,0,9,9,12,6,18,2,5,11,0,10,14,0
"199",259,18,4,204.905,14.3627777777778,3.55555555555556,190.542222222222,0,0,15,3,2,7,11,0,8,21,0,10,12,0
"200",260,20,0,209.225,10.863,3.05,198.362,0,0,17,3,18,3,12,0,0,23,0,3,10,0
"201",261,14,0,537.927142857143,234.434285714286,2.85714285714286,303.492857142857,0,4,4,6,0,0,10,2,0,6,0,3,21,0
"202",262,27,0,516.97962962963,113.211111111111,3.66666666666667,403.768518518518,3,7,9,8,6,12,24,0,0,12,1,24,20,0
"203",264,2,0,130.4,24.95,2,105.45,0,0,2,0,0,0,0,0,0,4,2,0,0,0
"204",266,2,0,470.4,323.76,3,146.64,0,0,0,2,0,0,1,1,0,0,0,0,1,0
"205",267,14,4,220.285714285714,7.71428571428571,6.21428571428571,212.571428571429,0,0,12,2,2,12,14,0,14,13,0,15,17,0
"206",270,16,6,173.446875,40.785625,3.375,132.66125,0,0,5,11,0,2,10,0,0,9,0,8,4,0
"207",271,1,0,51.26,0,1,51.26,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"208",273,3,0,185.183333333333,69.6,3,115.583333333333,0,0,1,2,0,0,1,0,0,2,0,0,1,0
"209",275,20,2,169.623,54.8245,3.15,114.7985,0,0,6,14,4,0,13,0,6,16,0,12,8,0
"210",277,24,5,681.437083333333,56.5329166666667,4.45833333333333,624.904166666667,4,0,12,8,0,21,25,1,0,19,4,4,33,0
"211",278,20,4,253.569,93.96,3,159.609,0,0,3,17,0,4,4,0,0,10,0,0,2,0
"212",279,66,1,94.1915151515152,20.5084848484848,1.74242424242424,73.6830303030303,0,0,12,54,0,3,60,0,4,22,0,3,16,0
"213",280,13,4,176.610769230769,22.1930769230769,1.15384615384615,154.417692307692,0,1,0,12,0,7,8,0,0,5,0,0,0,0
"214",281,40,2,279.83925,37.82075,3.375,242.0185,0,5,20,15,21,17,27,3,14,19,5,23,22,0
"215",282,15,9,357.75,146.056666666667,4.8,211.693333333333,0,1,4,10,0,5,10,3,0,7,0,8,9,0
"216",283,52,13,327.027307692308,19.9855769230769,4.44230769230769,307.041730769231,2,6,39,5,31,33,44,0,20,40,5,34,36,0
